בית | מקום שבו אנחנו גרים
אמר | דיבר בקול
ראש | החלק העליון בגוף
ממשלה | מי שמנהל את המדינה
מדינה | אזור בעולם עם אנשים מאותו עם
איש | בן אדם
שנה | 365 ימים
יד | מה שאנחנו מחזיקים איתו דברים
יום | 24 שעות
בן | לא בת
משרד | מקום שבו עובדים אנשים
כוח | מה שמפעילים השרירים
ים | מקום עם המון מים
חוק | כלל שקובעים להתנהגות
שעה | מה שמראה השעון
משפחה | הורים וילדים
משפט | כמה מילים שקוראים יחד
עיר | מקום שגרים בו הרבה אנשים
ישראל | המדינה שלנו
חדש | לא ישן
חודש | זמן של 30 ימים
ילד | מי שהוא לא מבוגר
חבר | מישהו שאנחנו משחקים איתו
גדול | לא קטן
קיבל | נתנו לו משהו
פה | אנחנו מדברים איתו
עולם | כל כדור הארץ
בוקר | הזמן בתחילת היום
אדם | איש
שבוע | שבעה ימים
כתב | השתמש בעפרון או בעט
ערב | הזמן בסוף היום
קשה | לא קל
ספר | קוראים בו סיפורים
יצא | הלך החוצה
חוץ | כשהכדור יוצא מהמגרש
אש | מה שמדליקים במדורה
קרוב | לא רחוק
פנים | חלק בראש שבו נמצאים האף והפה
בא | הגיע
שלום | ברכה שאומרים כשפוגשים מישהו
בת | לא בן
קשר | מה שיש בשרוכים
נכנס | עבר בדלת פנימה
טוב | לא רע
עלה | התקדם לכיוון למעלה
מחיר | כמה שעולה דבר בחנות
לב | נמצא בחזה ושואב את הדם
אגם | מקום עם הרבה מים מתוקים
אורן | סוג של עץ עם מחטים
קיפוד | חיה עם קוצים
קשת | חצי עיגול צבעוני בשמיים
נמלה | חרק קטנה וחרוצה מאוד
